Name,Units,Definition,Source,Associated variable,Commentary,Link to CLIMDEX,CLIMDEX relation,Linked indicators,Linked indicator relation,Sector,,Source,Link to source
Mean Wind Speed,m s-1 (abs and change),The mean daily 10m wind speed over a period (m s-1).,Climate ADAPT,sfcWind,,,,,,"Energy, Disaster Risk Reduction",,,
Extreme Wind Days,days (abs and change),"The count of days in a year with daily 10m wind speed exceeding the 98th percentile threshold over a reference period, here the 1981-2010 period (days).",Climate ADAPT,sfcWind,,,,,,"Energy, Transport, Forestry/GHG, Disaster Risk Reduction",,,
Snowfall Amount,mm; mm change,The Snowfall Amount index (mm) corresponds to the cumulative value of snowfall precipitation over the winter season from November to April.,Climate ADAPT,prsn,,,,,,"Water Resources, Tourism, Cryosphere",,,
High Snow Days,days (abs and change),The High Snow Days index (days) counts the number of days where the water equivalent of natural snow is above a given threshold (here 120 kg m-2) from august to july of the following year.,Climate ADAPT,prsn,,,,,,"Water Resources, Tourism, Cryosphere",,,
Relative Sea Level Rise,cm (abs and change from 1986-2005),The Relative Sea Level Rise index (cm) is the annual mean sea level height relative to the 1986-2005 period.,Climate ADAPT,"change_in_mean_sea_level_wrt_solid_surface, sea_surface_height_above_geoid, sea_surface_height_above_geopotential_datum, sea_surface_height_above_mean_sea_level, sea_surface_height_above_reference_ellipsoid",Output of Global Tide and Surge Model (2D hydrodynamic model),,,,,Coasts,,,
Extreme Sea Level,m (abs and change from 1951-1980),The Extreme Sea Level index (m) is the Total water level value for a return period of 100 years caused by tidal and surge levels as well as their interactions but without including sea level rise.,Climate ADAPT,"change_in_mean_sea_level_wrt_solid_surface, tidal_sea_surface_height_above_lowest_astronomical_tide, tidal_sea_surface_height_above_mean_higher_high_water, tidal_sea_surface_height_above_mean_lower_low_water, tidal_sea_surface_height_above_mean_low_water_springs, tidal_sea_surface_height_above_mean_sea_level, sea_surface_height_above_geoid, sea_surface_height_above_geopotential_datum, sea_surface_height_above_mean_sea_level, sea_surface_height_above_reference_ellipsoid, non_tidal_elevation_of_sea_surface_height","Output of Global Tide and Surge Model (2D hydrodynamic model); Return period of total water level (TWL), which includes annual sea level change, tides, storm surge",,,,,"Coasts, Disaster Risk Reduction",,,
Sea Surface Temperature,"°C, °C change from 1981-2010",The Sea Surface Temperature index represents the mean sea surface temperature over different timescales (°C).,Climate ADAPT,tos,,,,,,"Fisheries, Marine Ecosystems",,,
Marine Heatwaves Days index (MHD),days (abs and change),The Marine Heatwaves Days index (MHD) is defined as the count of days under marine heatwaves conditions (days). A Marine Heatwave day is a day exceeding the daily climatological 90th percentile of SST during the May to September season and a reference period.,Climate ADAPT,tos,,,,,,"Fisheries, Marine Ecosystems",,,
Dissolved Oxygen Level,mol / m³,"The Dissolved Oxygen Level index (mol / m³) is the concentration of dissolved oxygen at a certain depth. Oxygen concentrations above 190 mmol m³ are considered to be sufficient to support healthy marine communities with minimal problems, while oxygen concentrations below 62.5 mmol m³ are considered to be a source of serious concern.",Climate ADAPT,"o2 + (sometimes: zo2min, fgo2, dpo2)","Output of ecosystem model: might require solar radiation and ocean absorption, wind, partial CO2 in air, nutrients and inflow of freshwater into ocean and other parameters to run",,,,,"Fisheries, Marine Ecosystems",,,
Ocean pH level,pH,"The Ocean pH Level index (dimensionless) is the seawater pH at a certain depth. pH is a measure of the concentration of hydrogen ions in a solution. The more hydrogen ions that are present, the more acidic is the solution. The pH scale ranges from zero (very acidic) to 14 (very basic). The scale is logarithmic, meaning a single unit corresponds to a ten-fold difference. A pH of 7 is neutral, a pH less than 7 is acidic, and a pH greater than 7 is basic.",Climate ADAPT,"ph + (sometimes evaluated: spco2, spco2abio, spco2nat, dpco2, dpco2abio, dpco2nat, talk, talknat, dissic, dissicabio, dissicnat)",Output of ecosystem model,,,,,"Fisheries, Marine Ecosystems",,,
